Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Distance_by_year,age,eng_cap_diff
49.0,600.0,2003,4.0,345401.0,400.0,0.0,0.0,2450.0,18179.0,21,1095.6464823241165
60.0,467.0,2017,11.0,178000.0,1500.0,0.0,1.0,8200.0,35600.0,7,141.76606841540115
76.0,356.0,2015,4.0,184000.0,1399.0,4.0,0.0,13350.0,26285.714285714286,9,96.64648232411628
5.0,109.0,2016,10.0,62000.0,2000.0,4.0,0.0,20000.0,10333.333333333334,8,28.894623856636144
73.0,383.0,2013,7.0,153000.0,2500.0,0.0,1.0,18999.0,17000.0,11,180.6165413533836
39.0,219.0,2010,4.0,177561.0,1400.0,3.0,1.0,5699.0,14796.75,14,95.64648232411628
60.0,467.0,2017,11.0,170000.0,1500.0,0.0,1.0,9200.0,34000.0,7,141.76606841540115
69.0,324.0,2006,9.0,180000.0,2000.0,4.0,0.0,2500.0,11250.0,18,380.7225566064776
55.0,240.0,2018,6.0,35000.0,1400.0,4.0,1.0,12500.0,8750.0,6,403.61906424581
73.0,246.0,2005,4.0,150000.0,2000.0,0.0,1.0,3300.0,8823.529411764706,19,504.3535176758837
73.0,142.0,2013,10.0,141000.0,2500.0,2.0,0.0,16250.0,15666.666666666666,11,528.8946238566361
16.0,442.0,2015,11.0,114000.0,1500.0,0.0,1.0,7300.0,16285.714285714286,9,141.76606841540115
76.0,446.0,2000,4.0,288457.0,1200.0,0.0,1.0,1650.0,13111.681818181818,24,295.6464823241163
16.0,441.0,2021,10.0,0.0,1000.0,4.0,1.0,9930.0,0.0,3,971.105376143364
52.0,510.0,2008,3.0,135556.0,2400.0,3.0,0.0,7000.0,9682.57142857143,16,395.9292722812757
73.0,246.0,2007,10.0,162000.0,1398.0,3.0,1.0,5200.0,10800.0,17,573.1053761433639
55.0,408.0,1991,10.0,200000.0,1380.0,4.0,1.0,500.0,6451.612903225807,33,591.1053761433639
16.0,442.0,2013,11.0,144244.0,1200.0,3.0,1.0,5599.0,16027.111111111111,11,441.7660684154012
66.0,499.0,2009,10.0,221000.0,1400.0,4.0,1.0,6500.0,17000.0,15,571.1053761433639
16.0,273.0,2016,6.0,113000.0,1500.0,0.0,1.0,7990.0,18833.33333333333,8,303.61906424581
55.0,503.0,1994,10.0,123456.0,1998.0,4.0,1.0,550.0,4409.142857142857,30,26.894623856636144
42.0,582.0,2007,9.0,277411.0,3600.0,0.0,0.0,11500.0,18494.066666666666,17,1219.2774433935224
6.0,72.0,1983,10.0,305000.0,1800.0,4.0,1.0,600.0,7820.51282051282,41,171.10537614336386
55.0,248.0,2006,4.0,250000.0,1200.0,4.0,1.0,2500.0,15625.0,18,295.6464823241163
5.0,558.0,2017,3.0,58000.0,2000.0,4.0,0.0,21300.0,11600.0,7,4.070727718724356
5.0,107.0,2012,10.0,190000.0,1996.0,4.0,0.0,9300.0,19000.0,12,24.894623856636144
73.0,549.0,2014,6.0,206000.0,1800.0,2.0,0.0,10390.0,25750.0,10,3.619064245810023
54.0,567.0,2014,3.0,162000.0,1500.0,0.0,1.0,12450.0,20250.0,10,504.0707277187244
65.0,388.0,2011,1.0,170000.0,1200.0,0.0,1.0,4900.0,15454.545454545454,13,423.134770889488
49.0,276.0,2017,10.0,63000.0,2000.0,4.0,0.0,32499.0,12600.0,7,28.894623856636144
65.0,388.0,2012,1.0,248000.0,1200.0,0.0,1.0,5200.0,24800.0,12,423.134770889488
6.0,72.0,1994,10.0,480000.0,2000.0,4.0,1.0,3300.0,17142.85714285714,30,28.894623856636144
55.0,139.0,2011,11.0,260000.0,1700.0,0.0,1.0,3700.0,23636.36363636364,13,58.23393158459885
73.0,246.0,2005,4.0,234000.0,1400.0,0.0,0.0,5300.0,13764.70588235294,19,95.64648232411628
60.0,629.0,2004,6.0,258632.0,1500.0,0.0,1.0,3100.0,14368.444444444443,20,303.61906424581
73.0,246.0,2006,4.0,124000.0,1600.0,4.0,0.0,6000.0,7750.0,18,104.35351767588372
31.0,193.0,2003,3.0,265000.0,2000.0,3.0,1.0,6250.0,13947.368421052632,21,4.070727718724356
6.0,72.0,2018,10.0,30000.0,2000.0,4.0,0.0,26500.0,7500.0,6,28.894623856636144
73.0,141.0,2009,4.0,156000.0,1400.0,0.0,0.0,3900.0,12000.0,15,95.64648232411628
54.0,124.0,1996,10.0,87000.0,1600.0,4.0,1.0,700.0,3346.153846153846,28,371.1053761433639
76.0,356.0,2010,4.0,150000.0,1400.0,4.0,0.0,7900.0,12500.0,14,95.64648232411628
70.0,734.0,2017,3.0,37000.0,1600.0,4.0,0.0,14650.0,7400.0,7,404.0707277187244
6.0,85.0,2016,10.0,118000.0,3000.0,0.0,0.0,44999.0,19666.666666666668,8,1028.894623856636
55.0,722.0,1991,10.0,290000.0,2000.0,4.0,1.0,600.0,9354.83870967742,33,28.894623856636144
77.0,756.0,2012,3.0,181995.0,2400.0,0.0,0.0,19200.0,18199.5,12,395.9292722812757
76.0,357.0,2013,4.0,135000.0,1600.0,0.0,0.0,6300.0,15000.0,11,104.35351767588372
49.0,276.0,2004,11.0,265400.0,2200.0,0.0,0.0,6888.0,14744.444444444443,20,558.2339315845988
39.0,662.0,2020,3.0,30000.0,1600.0,4.0,0.0,17450.0,15000.0,4,404.0707277187244
39.0,662.0,2020,3.0,30000.0,1600.0,4.0,0.0,17450.0,15000.0,4,404.0707277187244
73.0,545.0,2015,4.0,159000.0,1800.0,2.0,0.0,8400.0,22714.285714285717,9,304.3535176758837
15.0,762.0,2005,5.0,240000.0,1000.0,4.0,1.0,850.0,14117.64705882353,19,781.8577405857741
49.0,170.0,2005,10.0,200000.0,2000.0,4.0,0.0,5800.0,11764.70588235294,19,28.894623856636144
6.0,48.0,1995,10.0,230000.0,1600.0,4.0,1.0,2399.0,8518.518518518518,29,371.1053761433639
75.0,39.0,2001,9.0,35000.0,1700.0,4.0,1.0,3150.0,1666.6666666666667,23,680.7225566064776
73.0,588.0,2013,3.0,166000.0,2200.0,0.0,0.0,16800.0,18444.444444444445,11,195.92927228127564
76.0,696.0,2008,5.0,250000.0,1896.0,0.0,0.0,7300.0,17857.14285714286,16,114.14225941422592
49.0,276.0,2002,10.0,306000.0,2700.0,0.0,0.0,3600.0,15300.0,22,728.8946238566361
73.0,146.0,2004,6.0,275000.0,2000.0,0.0,1.0,5500.0,15277.777777777776,20,196.38093575419
54.0,567.0,2015,3.0,96000.0,1200.0,4.0,0.0,10950.0,13714.285714285714,9,804.0707277187244
33.0,624.0,2016,9.0,69000.0,2199.0,0.0,0.0,18999.0,11500.0,8,181.7225566064776
73.0,145.0,2004,11.0,207000.0,1800.0,4.0,1.0,4999.0,11500.0,20,158.23393158459885
60.0,12.0,1991,4.0,196000.0,1870.0,4.0,1.0,16500.0,6322.580645161291,33,374.3535176758837
16.0,275.0,2010,9.0,225400.0,1461.0,0.0,1.0,7900.0,18783.33333333333,14,919.7225566064776
16.0,441.0,2013,10.0,174000.0,898.0,4.0,1.0,4000.0,19333.33333333333,11,1073.105376143364
48.0,199.0,2015,3.0,180000.0,1500.0,0.0,0.0,15555.0,25714.285714285717,9,504.0707277187244
6.0,47.0,2016,2.0,183000.0,1995.0,0.0,1.0,12000.0,30500.0,8,74.74388254486144
76.0,521.0,2011,10.0,124568.0,2000.0,3.0,1.0,4164.0,11324.363636363636,13,28.894623856636144
55.0,248.0,2004,10.0,300000.0,1200.0,4.0,1.0,1300.0,16666.666666666668,20,771.1053761433639
49.0,276.0,1994,10.0,355444.0,2000.0,0.0,1.0,950.0,12694.42857142857,30,28.894623856636144
13.0,460.0,2018,10.0,36000.0,1500.0,4.0,0.0,14999.0,9000.0,6,471.1053761433639
76.0,520.0,2006,10.0,258000.0,2000.0,0.0,1.0,6000.0,16125.0,18,28.894623856636144
6.0,48.0,2008,2.0,193000.0,3000.0,0.0,0.0,14999.0,13785.714285714286,16,1079.7438825448614
76.0,204.0,2007,6.0,295000.0,2000.0,3.0,1.0,7200.0,19666.666666666668,17,196.38093575419
54.0,567.0,2015,3.0,96000.0,1200.0,4.0,0.0,10950.0,13714.285714285714,9,804.0707277187244
66.0,587.0,2014,4.0,112580.0,1200.0,4.0,1.0,6800.0,14072.5,10,295.6464823241163
43.0,343.0,2015,10.0,41770.0,2000.0,4.0,0.0,26499.0,5967.142857142857,9,28.894623856636144
6.0,750.0,2015,4.0,170000.0,2500.0,0.0,0.0,29990.0,24285.714285714286,9,1004.3535176758836
76.0,356.0,2013,4.0,128540.0,1400.0,4.0,1.0,9650.0,14282.222222222224,11,95.64648232411628
66.0,672.0,2010,10.0,187000.0,2000.0,0.0,0.0,7999.0,15583.333333333334,14,28.894623856636144
23.0,332.0,2013,10.0,178000.0,2000.0,2.0,0.0,9290.0,19777.777777777777,11,28.894623856636144
66.0,672.0,2018,10.0,55000.0,2000.0,4.0,0.0,28999.0,13750.0,6,28.894623856636144
39.0,636.0,2001,10.0,260000.0,1500.0,4.0,1.0,1150.0,12380.952380952382,23,471.1053761433639
76.0,705.0,2013,6.0,289525.0,2000.0,0.0,1.0,8499.0,32169.444444444445,11,196.38093575419
49.0,170.0,1994,10.0,340000.0,1800.0,3.0,1.0,2600.0,12142.857142857143,30,171.10537614336386
73.0,246.0,2007,4.0,226000.0,1400.0,0.0,1.0,5590.0,15066.666666666666,17,95.64648232411628
76.0,356.0,2008,4.0,206000.0,1399.0,4.0,1.0,5000.0,14714.285714285714,16,96.64648232411628
16.0,275.0,2012,3.0,113100.0,1461.0,0.0,1.0,7700.0,11310.0,12,543.0707277187244
60.0,467.0,2012,11.0,162200.0,1461.0,0.0,1.0,5899.0,16220.0,12,180.76606841540115
75.0,28.0,1989,10.0,55555.0,1435.0,4.0,1.0,650.0,1683.4848484848485,35,536.1053761433639
6.0,749.0,2019,9.0,32000.0,2000.0,0.0,0.0,45000.0,10666.666666666666,5,380.7225566064776
23.0,704.0,2016,6.0,190000.0,1500.0,0.0,1.0,8600.0,31666.666666666668,8,303.61906424581
15.0,184.0,2005,4.0,136000.0,2000.0,4.0,0.0,4500.0,8000.0,19,504.3535176758837
54.0,567.0,2009,3.0,240000.0,1500.0,0.0,1.0,6500.0,18461.53846153846,15,504.0707277187244
43.0,196.0,2011,4.0,100000.0,1800.0,2.0,0.0,9000.0,9090.90909090909,13,304.3535176758837
33.0,464.0,2004,11.0,250000.0,1500.0,0.0,1.0,4000.0,13888.888888888889,20,141.76606841540115
73.0,141.0,2014,4.0,145000.0,1400.0,0.0,1.0,8800.0,18125.0,10,95.64648232411628
66.0,768.0,2011,3.0,161000.0,1192.0,4.0,0.0,7350.0,14636.363636363636,13,812.0707277187244
73.0,547.0,2017,4.0,44000.0,1800.0,5.0,0.0,14499.0,8800.0,7,304.3535176758837
66.0,599.0,2008,11.0,260000.0,1400.0,0.0,1.0,4450.0,18571.42857142857,16,241.76606841540115
48.0,201.0,2015,3.0,144510.0,2198.0,0.0,0.0,15200.0,20644.285714285717,9,193.92927228127564
31.0,231.0,2000,11.0,363088.0,1400.0,4.0,1.0,2000.0,16504.0,24,241.76606841540115
56.0,21.0,2008,4.0,187000.0,1400.0,0.0,1.0,2500.0,13357.142857142857,16,95.64648232411628
